Date,Time,Count,Avg Speed [km/h],PH,PH Bool
15/07/2023,11:00 - 12:00,797,59,#N/A,0
15/07/2023,12:00 - 13:00,703,58,#N/A,0
15/07/2023,13:00 - 14:00,650,61,#N/A,0
15/07/2023,14:00 - 15:00,586,61,#N/A,0
15/07/2023,15:00 - 16:00,619,61,#N/A,0
15/07/2023,16:00 - 17:00,566,60,#N/A,0
15/07/2023,17:00 - 18:00,595,59,#N/A,0
15/07/2023,18:00 - 19:00,662,60,#N/A,0
15/07/2023,19:00 - 20:00,537,62,#N/A,0
15/07/2023,20:00 - 21:00,473,61,#N/A,0
15/07/2023,21:00 - 22:00,276,58,#N/A,0
15/07/2023,22:00 - 23:00,225,58,#N/A,0
15/07/2023,23:00 - 24:00,206,62,#N/A,0
16/07/2023,00:00 - 01:00,172,63,#N/A,0
16/07/2023,01:00 - 02:00,89,65,#N/A,0
16/07/2023,02:00 - 03:00,46,65,#N/A,0
16/07/2023,03:00 - 04:00,39,71,#N/A,0
16/07/2023,04:00 - 05:00,57,62,#N/A,0
16/07/2023,05:00 - 06:00,88,61,#N/A,0
16/07/2023,06:00 - 07:00,234,66,#N/A,0
16/07/2023,07:00 - 08:00,570,61,#N/A,0
16/07/2023,08:00 - 09:00,829,59,#N/A,0
16/07/2023,09:00 - 10:00,866,57,#N/A,0
16/07/2023,10:00 - 11:00,837,58,#N/A,0
16/07/2023,11:00 - 12:00,695,55,#N/A,0
16/07/2023,12:00 - 13:00,556,57,#N/A,0
16/07/2023,13:00 - 14:00,478,47,#N/A,0
16/07/2023,14:00 - 15:00,447,46,#N/A,0
16/07/2023,15:00 - 16:00,459,44,#N/A,0
16/07/2023,16:00 - 17:00,450,41,#N/A,0
16/07/2023,17:00 - 18:00,431,39,#N/A,0
16/07/2023,18:00 - 19:00,485,39,#N/A,0
16/07/2023,19:00 - 20:00,388,44,#N/A,0
16/07/2023,20:00 - 21:00,240,56,#N/A,0
16/07/2023,21:00 - 22:00,159,57,#N/A,0
16/07/2023,22:00 - 23:00,137,59,#N/A,0
16/07/2023,23:00 - 24:00,94,61,#N/A,0
17/07/2023,00:00 - 01:00,81,70,#N/A,0
17/07/2023,01:00 - 02:00,34,65,#N/A,0
17/07/2023,02:00 - 03:00,20,61,#N/A,0
17/07/2023,03:00 - 04:00,36,62,#N/A,0
17/07/2023,04:00 - 05:00,46,62,#N/A,0
17/07/2023,05:00 - 06:00,125,66,#N/A,0
17/07/2023,06:00 - 07:00,109,68,#N/A,0
17/07/2023,07:00 - 08:00,129,62,#N/A,0
17/07/2023,08:00 - 09:00,150,66,#N/A,0
17/07/2023,09:00 - 10:00,218,59,#N/A,0
17/07/2023,10:00 - 11:00,177,62,#N/A,0
17/07/2023,11:00 - 12:00,122,62,#N/A,0
