DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
12/08/2023 16:00,783,74,0,12/08/2023,16:00:00
12/08/2023 17:00,891,73,0,12/08/2023,17:00:00
12/08/2023 18:00,869,71,0,12/08/2023,18:00:00
12/08/2023 19:00,818,73,0,12/08/2023,19:00:00
12/08/2023 20:00,567,73,0,12/08/2023,20:00:00
12/08/2023 21:00,372,72,0,12/08/2023,21:00:00
12/08/2023 22:00,302,73,0,12/08/2023,22:00:00
12/08/2023 23:00,246,76,0,12/08/2023,23:00:00
13/08/2023 00:00,175,78,0,13/08/2023,00:00:00
13/08/2023 01:00,79,76,0,13/08/2023,01:00:00
13/08/2023 02:00,47,73,0,13/08/2023,02:00:00
13/08/2023 03:00,50,80,0,13/08/2023,03:00:00
13/08/2023 04:00,53,75,0,13/08/2023,04:00:00
13/08/2023 05:00,109,79,0,13/08/2023,05:00:00
13/08/2023 06:00,296,82,0,13/08/2023,06:00:00
13/08/2023 07:00,626,79,0,13/08/2023,07:00:00
13/08/2023 08:00,1096,75,0,13/08/2023,08:00:00
13/08/2023 09:00,1277,71,0,13/08/2023,09:00:00
13/08/2023 10:00,1305,65,0,13/08/2023,10:00:00
13/08/2023 11:00,1242,62,0,13/08/2023,11:00:00
13/08/2023 12:00,997,67,0,13/08/2023,12:00:00
13/08/2023 13:00,752,69,0,13/08/2023,13:00:00
13/08/2023 14:00,708,43,0,13/08/2023,14:00:00
13/08/2023 15:00,637,43,0,13/08/2023,15:00:00
13/08/2023 16:00,668,39,0,13/08/2023,16:00:00
13/08/2023 17:00,740,28,0,13/08/2023,17:00:00
13/08/2023 18:00,564,40,0,13/08/2023,18:00:00
13/08/2023 19:00,443,48,0,13/08/2023,19:00:00
13/08/2023 20:00,378,69,0,13/08/2023,20:00:00
13/08/2023 21:00,233,73,0,13/08/2023,21:00:00
13/08/2023 22:00,176,72,0,13/08/2023,22:00:00
13/08/2023 23:00,156,73,0,13/08/2023,23:00:00
14/08/2023 00:00,106,76,0,14/08/2023,00:00:00
14/08/2023 01:00,60,82,0,14/08/2023,01:00:00
14/08/2023 02:00,44,82,0,14/08/2023,02:00:00
14/08/2023 03:00,47,79,0,14/08/2023,03:00:00
14/08/2023 04:00,62,75,0,14/08/2023,04:00:00
14/08/2023 05:00,156,81,0,14/08/2023,05:00:00
14/08/2023 06:00,302,80,0,14/08/2023,06:00:00
14/08/2023 07:00,470,81,0,14/08/2023,07:00:00
14/08/2023 08:00,473,74,0,14/08/2023,08:00:00
14/08/2023 09:00,452,72,0,14/08/2023,09:00:00
14/08/2023 10:00,464,67,0,14/08/2023,10:00:00
14/08/2023 11:00,354,63,0,14/08/2023,11:00:00
14/08/2023 12:00,370,73,0,14/08/2023,12:00:00
14/08/2023 13:00,259,76,0,14/08/2023,13:00:00
14/08/2023 14:00,341,78,0,14/08/2023,14:00:00
14/08/2023 15:00,246,75,0,14/08/2023,15:00:00
14/08/2023 16:00,222,76,0,14/08/2023,16:00:00
14/08/2023 17:00,284,72,0,14/08/2023,17:00:00
14/08/2023 18:00,189,77,0,14/08/2023,18:00:00
14/08/2023 19:00,229,76,0,14/08/2023,19:00:00
14/08/2023 20:00,234,76,0,14/08/2023,20:00:00
14/08/2023 21:00,228,78,0,14/08/2023,21:00:00
14/08/2023 22:00,187,73,0,14/08/2023,22:00:00
14/08/2023 23:00,171,79,0,14/08/2023,23:00:00
15/08/2023 00:00,162,82,1,15/08/2023,00:00:00
15/08/2023 01:00,100,83,1,15/08/2023,01:00:00
15/08/2023 02:00,40,74,1,15/08/2023,02:00:00
15/08/2023 03:00,64,79,1,15/08/2023,03:00:00
15/08/2023 04:00,85,79,1,15/08/2023,04:00:00
15/08/2023 05:00,168,74,1,15/08/2023,05:00:00
15/08/2023 06:00,263,77,1,15/08/2023,06:00:00
15/08/2023 07:00,295,73,1,15/08/2023,07:00:00
15/08/2023 08:00,266,73,1,15/08/2023,08:00:00
15/08/2023 09:00,260,71,1,15/08/2023,09:00:00
15/08/2023 10:00,224,68,1,15/08/2023,10:00:00
15/08/2023 11:00,166,61,1,15/08/2023,11:00:00
15/08/2023 12:00,169,71,1,15/08/2023,12:00:00
15/08/2023 13:00,186,69,1,15/08/2023,13:00:00
15/08/2023 14:00,142,72,1,15/08/2023,14:00:00
15/08/2023 15:00,118,73,1,15/08/2023,15:00:00
15/08/2023 16:00,154,74,1,15/08/2023,16:00:00
15/08/2023 17:00,142,71,1,15/08/2023,17:00:00
15/08/2023 18:00,103,69,1,15/08/2023,18:00:00
15/08/2023 19:00,116,71,1,15/08/2023,19:00:00
